"week","year","vaccine","dose_number","total_administered"
47,2021,"Pfizer/BioNTech",1,30611
48,2021,"Pfizer/BioNTech",1,23373
49,2021,"Pfizer/BioNTech",1,17431
50,2021,"Pfizer/BioNTech",1,14608
51,2021,"Pfizer/BioNTech",1,8327
52,2021,"Pfizer/BioNTech",1,8298
1,2022,"Pfizer/BioNTech",1,12896
2,2022,"Pfizer/BioNTech",1,9726
3,2022,"Pfizer/BioNTech",1,21859
4,2022,"Pfizer/BioNTech",1,44395
5,2022,"Pfizer/BioNTech",1,18313
6,2022,"Pfizer/BioNTech",1,8862
7,2022,"Pfizer/BioNTech",1,3703
8,2022,"Pfizer/BioNTech",1,2477
9,2022,"Pfizer/BioNTech",1,762
52,2020,"Johnson&Johnson",1,0
53,2020,"Johnson&Johnson",1,0
1,2021,"Johnson&Johnson",1,0
2,2021,"Johnson&Johnson",1,0
3,2021,"Johnson&Johnson",1,0
4,2021,"Johnson&Johnson",1,0
5,2021,"Johnson&Johnson",1,0
6,2021,"Johnson&Johnson",1,0
7,2021,"Johnson&Johnson",1,0
8,2021,"Johnson&Johnson",1,0
9,2021,"Johnson&Johnson",1,0
10,2021,"Johnson&Johnson",1,0
11,2021,"Johnson&Johnson",1,0
12,2021,"Johnson&Johnson",1,0
13,2021,"Johnson&Johnson",1,0
14,2021,"Johnson&Johnson",1,0
15,2021,"Johnson&Johnson",1,0
16,2021,"Johnson&Johnson",1,8887
17,2021,"Johnson&Johnson",1,39624
18,2021,"Johnson&Johnson",1,46969
19,2021,"Johnson&Johnson",1,28919
20,2021,"Johnson&Johnson",1,17727
21,2021,"Johnson&Johnson",1,98217
22,2021,"Johnson&Johnson",1,149291
23,2021,"Johnson&Johnson",1,48931
24,2021,"Johnson&Johnson",1,20088
25,2021,"Johnson&Johnson",1,82908
26,2021,"Johnson&Johnson",1,130965
27,2021,"Johnson&Johnson",1,69183
28,2021,"Johnson&Johnson",1,13958
29,2021,"Johnson&Johnson",1,9142
30,2021,"Johnson&Johnson",1,7305
31,2021,"Johnson&Johnson",1,5434
32,2021,"Johnson&Johnson",1,4539
33,2021,"Johnson&Johnson",1,3777
34,2021,"Johnson&Johnson",1,3315
35,2021,"Johnson&Johnson",1,3181
36,2021,"Johnson&Johnson",1,3162
37,2021,"Johnson&Johnson",1,6617
38,2021,"Johnson&Johnson",1,13659
39,2021,"Johnson&Johnson",1,13405
40,2021,"Johnson&Johnson",1,4438
41,2021,"Johnson&Johnson",1,3958
42,2021,"Johnson&Johnson",1,3379
43,2021,"Johnson&Johnson",1,4590
44,2021,"Johnson&Johnson",1,8491
45,2021,"Johnson&Johnson",1,4883
46,2021,"Johnson&Johnson",1,3104
47,2021,"Johnson&Johnson",1,2202
48,2021,"Johnson&Johnson",1,1246
49,2021,"Johnson&Johnson",1,921
50,2021,"Johnson&Johnson",1,617
51,2021,"Johnson&Johnson",1,164
52,2021,"Johnson&Johnson",1,201
1,2022,"Johnson&Johnson",1,202
2,2022,"Johnson&Johnson",1,222
3,2022,"Johnson&Johnson",1,122
4,2022,"Johnson&Johnson",1,191
5,2022,"Johnson&Johnson",1,100
6,2022,"Johnson&Johnson",1,86
7,2022,"Johnson&Johnson",1,20
8,2022,"Johnson&Johnson",1,39
9,2022,"Johnson&Johnson",1,20
52,2020,"Moderna",1,0
53,2020,"Moderna",1,0
1,2021,"Moderna",1,0
2,2021,"Moderna",1,0
3,2021,"Moderna",1,2572
4,2021,"Moderna",1,6311
5,2021,"Moderna",1,5990
6,2021,"Moderna",1,6353
7,2021,"Moderna",1,13420
8,2021,"Moderna",1,13064
9,2021,"Moderna",1,12499
10,2021,"Moderna",1,12601
11,2021,"Moderna",1,6623
12,2021,"Moderna",1,27664
13,2021,"Moderna",1,28911
14,2021,"Moderna",1,21671
15,2021,"Moderna",1,24827
16,2021,"Moderna",1,6587
17,2021,"Moderna",1,688
18,2021,"Moderna",1,27173
19,2021,"Moderna",1,52649
20,2021,"Moderna",1,77519
21,2021,"Moderna",1,102533
22,2021,"Moderna",1,126217
23,2021,"Moderna",1,139800
24,2021,"Moderna",1,102039
25,2021,"Moderna",1,49408
26,2021,"Moderna",1,33637
27,2021,"Moderna",1,97898
28,2021,"Moderna",1,21573
29,2021,"Moderna",1,8964
30,2021,"Moderna",1,4119
31,2021,"Moderna",1,2283
32,2021,"Moderna",1,93
33,2021,"Moderna",1,37
34,2021,"Moderna",1,28
35,2021,"Moderna",1,14
36,2021,"Moderna",1,9
37,2021,"Moderna",1,74
38,2021,"Moderna",1,79
39,2021,"Moderna",1,97
40,2021,"Moderna",1,53
41,2021,"Moderna",1,40
42,2021,"Moderna",1,30
43,2021,"Moderna",1,44
44,2021,"Moderna",1,46
45,2021,"Moderna",1,40
46,2021,"Moderna",1,31
47,2021,"Moderna",1,20
48,2021,"Moderna",1,25
49,2021,"Moderna",1,22
50,2021,"Moderna",1,23
51,2021,"Moderna",1,20
52,2021,"Moderna",1,26
1,2022,"Moderna",1,52
2,2022,"Moderna",1,19
3,2022,"Moderna",1,12
4,2022,"Moderna",1,9
5,2022,"Moderna",1,1
6,2022,"Moderna",1,1
7,2022,"Moderna",1,1
8,2022,"Moderna",1,0
9,2022,"Moderna",1,0
52,2020,"UNK",1,0
53,2020,"UNK",1,0
1,2021,"UNK",1,2
2,2021,"UNK",1,5
3,2021,"UNK",1,13
4,2021,"UNK",1,7
5,2021,"UNK",1,8
6,2021,"UNK",1,9
7,2021,"UNK",1,28
8,2021,"UNK",1,40
9,2021,"UNK",1,18
10,2021,"UNK",1,13
11,2021,"UNK",1,20
12,2021,"UNK",1,7
13,2021,"UNK",1,38
14,2021,"UNK",1,13
15,2021,"UNK",1,26
16,2021,"UNK",1,12
17,2021,"UNK",1,23
18,2021,"UNK",1,17
19,2021,"UNK",1,17
20,2021,"UNK",1,33
21,2021,"UNK",1,36
22,2021,"UNK",1,38
23,2021,"UNK",1,54
24,2021,"UNK",1,25
25,2021,"UNK",1,37
26,2021,"UNK",1,24
27,2021,"UNK",1,71
28,2021,"UNK",1,14
29,2021,"UNK",1,8
30,2021,"UNK",1,16
31,2021,"UNK",1,23
32,2021,"UNK",1,3
33,2021,"UNK",1,7
34,2021,"UNK",1,6
35,2021,"UNK",1,6
36,2021,"UNK",1,5
37,2021,"UNK",1,7
38,2021,"UNK",1,9
39,2021,"UNK",1,5
40,2021,"UNK",1,2
41,2021,"UNK",1,1
42,2021,"UNK",1,0
43,2021,"UNK",1,1
44,2021,"UNK",1,2
45,2021,"UNK",1,1
46,2021,"UNK",1,1
47,2021,"UNK",1,4
48,2021,"UNK",1,0
49,2021,"UNK",1,5
50,2021,"UNK",1,12
51,2021,"UNK",1,6
52,2021,"UNK",1,6
1,2022,"UNK",1,13
2,2022,"UNK",1,6
3,2022,"UNK",1,7
4,2022,"UNK",1,5
5,2022,"UNK",1,2
6,2022,"UNK",1,4
7,2022,"UNK",1,3
8,2022,"UNK",1,0
9,2022,"UNK",1,0
52,2020,"Oxford/AstraZeneca",2,0
53,2020,"Oxford/AstraZeneca",2,0
1,2021,"Oxford/AstraZeneca",2,0
2,2021,"Oxford/AstraZeneca",2,0
3,2021,"Oxford/AstraZeneca",2,0
4,2021,"Oxford/AstraZeneca",2,0
5,2021,"Oxford/AstraZeneca",2,0
6,2021,"Oxford/AstraZeneca",2,0
7,2021,"Oxford/AstraZeneca",2,0
8,2021,"Oxford/AstraZeneca",2,0
9,2021,"Oxford/AstraZeneca",2,0
10,2021,"Oxford/AstraZeneca",2,0
11,2021,"Oxford/AstraZeneca",2,0
12,2021,"Oxford/AstraZeneca",2,32
13,2021,"Oxford/AstraZeneca",2,349
14,2021,"Oxford/AstraZeneca",2,2313
15,2021,"Oxford/AstraZeneca",2,3325
16,2021,"Oxford/AstraZeneca",2,1034
17,2021,"Oxford/AstraZeneca",2,384
18,2021,"Oxford/AstraZeneca",2,79514
19,2021,"Oxford/AstraZeneca",2,82222
20,2021,"Oxford/AstraZeneca",2,148423
21,2021,"Oxford/AstraZeneca",2,115565
22,2021,"Oxford/AstraZeneca",2,135114
23,2021,"Oxford/AstraZeneca",2,209739
24,2021,"Oxford/AstraZeneca",2,170292
25,2021,"Oxford/AstraZeneca",2,156346
26,2021,"Oxford/AstraZeneca",2,158543
27,2021,"Oxford/AstraZeneca",2,19955
28,2021,"Oxford/AstraZeneca",2,285
29,2021,"Oxford/AstraZeneca",2,115
30,2021,"Oxford/AstraZeneca",2,59
31,2021,"Oxford/AstraZeneca",2,30
32,2021,"Oxford/AstraZeneca",2,14
33,2021,"Oxford/AstraZeneca",2,23
34,2021,"Oxford/AstraZeneca",2,2
35,2021,"Oxford/AstraZeneca",2,5
36,2021,"Oxford/AstraZeneca",2,8
37,2021,"Oxford/AstraZeneca",2,9
38,2021,"Oxford/AstraZeneca",2,6
39,2021,"Oxford/AstraZeneca",2,32
40,2021,"Oxford/AstraZeneca",2,29
41,2021,"Oxford/AstraZeneca",2,36
42,2021,"Oxford/AstraZeneca",2,33
43,2021,"Oxford/AstraZeneca",2,13
44,2021,"Oxford/AstraZeneca",2,0
45,2021,"Oxford/AstraZeneca",2,0
46,2021,"Oxford/AstraZeneca",2,0
47,2021,"Oxford/AstraZeneca",2,5
48,2021,"Oxford/AstraZeneca",2,0
49,2021,"Oxford/AstraZeneca",2,1
50,2021,"Oxford/AstraZeneca",2,2
51,2021,"Oxford/AstraZeneca",2,2
52,2021,"Oxford/AstraZeneca",2,0
1,2022,"Oxford/AstraZeneca",2,1
2,2022,"Oxford/AstraZeneca",2,0
3,2022,"Oxford/AstraZeneca",2,1
4,2022,"Oxford/AstraZeneca",2,1
5,2022,"Oxford/AstraZeneca",2,0
6,2022,"Oxford/AstraZeneca",2,0
7,2022,"Oxford/AstraZeneca",2,0
8,2022,"Oxford/AstraZeneca",2,0
9,2022,"Oxford/AstraZeneca",2,0
52,2020,"Pfizer/BioNTech",2,0
53,2020,"Pfizer/BioNTech",2,0
1,2021,"Pfizer/BioNTech",2,0
2,2021,"Pfizer/BioNTech",2,0
3,2021,"Pfizer/BioNTech",2,0
4,2021,"Pfizer/BioNTech",2,2430
5,2021,"Pfizer/BioNTech",2,24006
6,2021,"Pfizer/BioNTech",2,71109
7,2021,"Pfizer/BioNTech",2,64074
8,2021,"Pfizer/BioNTech",2,106865
9,2021,"Pfizer/BioNTech",2,78441
10,2021,"Pfizer/BioNTech",2,81344
11,2021,"Pfizer/BioNTech",2,114095
12,2021,"Pfizer/BioNTech",2,85511
13,2021,"Pfizer/BioNTech",2,96692
14,2021,"Pfizer/BioNTech",2,114138
15,2021,"Pfizer/BioNTech",2,81316
16,2021,"Pfizer/BioNTech",2,89464
17,2021,"Pfizer/BioNTech",2,63362
18,2021,"Pfizer/BioNTech",2,172837
19,2021,"Pfizer/BioNTech",2,209414
20,2021,"Pfizer/BioNTech",2,367838
21,2021,"Pfizer/BioNTech",2,402545
22,2021,"Pfizer/BioNTech",2,452782
23,2021,"Pfizer/BioNTech",2,408116
24,2021,"Pfizer/BioNTech",2,472834
25,2021,"Pfizer/BioNTech",2,395906
26,2021,"Pfizer/BioNTech",2,285249
27,2021,"Pfizer/BioNTech",2,285464
28,2021,"Pfizer/BioNTech",2,755973
29,2021,"Pfizer/BioNTech",2,564970
30,2021,"Pfizer/BioNTech",2,609818
31,2021,"Pfizer/BioNTech",2,702320
32,2021,"Pfizer/BioNTech",2,572286
33,2021,"Pfizer/BioNTech",2,202898
34,2021,"Pfizer/BioNTech",2,192940
35,2021,"Pfizer/BioNTech",2,151743
36,2021,"Pfizer/BioNTech",2,79773
37,2021,"Pfizer/BioNTech",2,78099
38,2021,"Pfizer/BioNTech",2,68187
39,2021,"Pfizer/BioNTech",2,57157
40,2021,"Pfizer/BioNTech",2,58281
41,2021,"Pfizer/BioNTech",2,56090
42,2021,"Pfizer/BioNTech",2,49433
43,2021,"Pfizer/BioNTech",2,48230
44,2021,"Pfizer/BioNTech",2,39628
45,2021,"Pfizer/BioNTech",2,41986
46,2021,"Pfizer/BioNTech",2,43553
47,2021,"Pfizer/BioNTech",2,55305
48,2021,"Pfizer/BioNTech",2,55724
49,2021,"Pfizer/BioNTech",2,53456
50,2021,"Pfizer/BioNTech",2,43380
51,2021,"Pfizer/BioNTech",2,25598
52,2021,"Pfizer/BioNTech",2,22816
1,2022,"Pfizer/BioNTech",2,24652
2,2022,"Pfizer/BioNTech",2,19250
3,2022,"Pfizer/BioNTech",2,15019
4,2022,"Pfizer/BioNTech",2,14271
5,2022,"Pfizer/BioNTech",2,12081
6,2022,"Pfizer/BioNTech",2,9317
7,2022,"Pfizer/BioNTech",2,5075
8,2022,"Pfizer/BioNTech",2,3880
9,2022,"Pfizer/BioNTech",2,1231
52,2020,"Johnson&Johnson",2,0
53,2020,"Johnson&Johnson",2,0
1,2021,"Johnson&Johnson",2,0
2,2021,"Johnson&Johnson",2,0
3,2021,"Johnson&Johnson",2,0
4,2021,"Johnson&Johnson",2,0
5,2021,"Johnson&Johnson",2,0
6,2021,"Johnson&Johnson",2,0
7,2021,"Johnson&Johnson",2,0
8,2021,"Johnson&Johnson",2,0
9,2021,"Johnson&Johnson",2,0
10,2021,"Johnson&Johnson",2,0
11,2021,"Johnson&Johnson",2,0
12,2021,"Johnson&Johnson",2,0
13,2021,"Johnson&Johnson",2,0
14,2021,"Johnson&Johnson",2,0
15,2021,"Johnson&Johnson",2,0
16,2021,"Johnson&Johnson",2,0
17,2021,"Johnson&Johnson",2,0
18,2021,"Johnson&Johnson",2,0
19,2021,"Johnson&Johnson",2,0
20,2021,"Johnson&Johnson",2,0
21,2021,"Johnson&Johnson",2,0
22,2021,"Johnson&Johnson",2,0
23,2021,"Johnson&Johnson",2,0
24,2021,"Johnson&Johnson",2,0
25,2021,"Johnson&Johnson",2,0
26,2021,"Johnson&Johnson",2,0
27,2021,"Johnson&Johnson",2,0
28,2021,"Johnson&Johnson",2,0
29,2021,"Johnson&Johnson",2,0
30,2021,"Johnson&Johnson",2,0
31,2021,"Johnson&Johnson",2,0
32,2021,"Johnson&Johnson",2,0
33,2021,"Johnson&Johnson",2,0
34,2021,"Johnson&Johnson",2,0
35,2021,"Johnson&Johnson",2,0
36,2021,"Johnson&Johnson",2,0
37,2021,"Johnson&Johnson",2,0
38,2021,"Johnson&Johnson",2,0
39,2021,"Johnson&Johnson",2,0
40,2021,"Johnson&Johnson",2,0
41,2021,"Johnson&Johnson",2,0
42,2021,"Johnson&Johnson",2,0
43,2021,"Johnson&Johnson",2,0
44,2021,"Johnson&Johnson",2,0
45,2021,"Johnson&Johnson",2,0
46,2021,"Johnson&Johnson",2,0
47,2021,"Johnson&Johnson",2,0
48,2021,"Johnson&Johnson",2,0
49,2021,"Johnson&Johnson",2,0
50,2021,"Johnson&Johnson",2,0
51,2021,"Johnson&Johnson",2,0
52,2021,"Johnson&Johnson",2,0
1,2022,"Johnson&Johnson",2,0
2,2022,"Johnson&Johnson",2,0
3,2022,"Johnson&Johnson",2,0
4,2022,"Johnson&Johnson",2,0
5,2022,"Johnson&Johnson",2,0
6,2022,"Johnson&Johnson",2,0
7,2022,"Johnson&Johnson",2,0
8,2022,"Johnson&Johnson",2,0
9,2022,"Johnson&Johnson",2,0
52,2020,"Moderna",2,0
53,2020,"Moderna",2,0
1,2021,"Moderna",2,0
2,2021,"Moderna",2,0
3,2021,"Moderna",2,0
4,2021,"Moderna",2,0
5,2021,"Moderna",2,0
6,2021,"Moderna",2,0
7,2021,"Moderna",2,2574
8,2021,"Moderna",2,6306
9,2021,"Moderna",2,5987
10,2021,"Moderna",2,6360
11,2021,"Moderna",2,13442
12,2021,"Moderna",2,13062
13,2021,"Moderna",2,12494
14,2021,"Moderna",2,12538
15,2021,"Moderna",2,6625
16,2021,"Moderna",2,27703
17,2021,"Moderna",2,28879
18,2021,"Moderna",2,21666
19,2021,"Moderna",2,24827
20,2021,"Moderna",2,6674
21,2021,"Moderna",2,847
22,2021,"Moderna",2,15960
23,2021,"Moderna",2,23529
24,2021,"Moderna",2,28510
25,2021,"Moderna",2,62171
26,2021,"Moderna",2,87978
27,2021,"Moderna",2,110496
28,2021,"Moderna",2,118359
29,2021,"Moderna",2,90322
30,2021,"Moderna",2,45910
31,2021,"Moderna",2,33890
32,2021,"Moderna",2,75677
33,2021,"Moderna",2,22065
34,2021,"Moderna",2,11168
35,2021,"Moderna",2,5731
36,2021,"Moderna",2,2390
37,2021,"Moderna",2,2069
38,2021,"Moderna",2,2104
39,2021,"Moderna",2,1878
40,2021,"Moderna",2,1006
41,2021,"Moderna",2,1014
42,2021,"Moderna",2,896
43,2021,"Moderna",2,760
44,2021,"Moderna",2,864
45,2021,"Moderna",2,1455
46,2021,"Moderna",2,1256
47,2021,"Moderna",2,830
48,2021,"Moderna",2,805
49,2021,"Moderna",2,734
50,2021,"Moderna",2,889
51,2021,"Moderna",2,559
52,2021,"Moderna",2,737
1,2022,"Moderna",2,454
2,2022,"Moderna",2,306
3,2022,"Moderna",2,157
4,2022,"Moderna",2,82
5,2022,"Moderna",2,63
6,2022,"Moderna",2,56
7,2022,"Moderna",2,36
8,2022,"Moderna",2,15
9,2022,"Moderna",2,1
52,2020,"UNK",2,0
53,2020,"UNK",2,0
1,2021,"UNK",2,0
2,2021,"UNK",2,0
3,2021,"UNK",2,0
4,2021,"UNK",2,0
5,2021,"UNK",2,2
6,2021,"UNK",2,5
7,2021,"UNK",2,14
8,2021,"UNK",2,10
9,2021,"UNK",2,12
10,2021,"UNK",2,31
11,2021,"UNK",2,25
12,2021,"UNK",2,7
13,2021,"UNK",2,8
14,2021,"UNK",2,9
15,2021,"UNK",2,8
16,2021,"UNK",2,5
17,2021,"UNK",2,3
18,2021,"UNK",2,14
19,2021,"UNK",2,11
20,2021,"UNK",2,16
21,2021,"UNK",2,34
22,2021,"UNK",2,32
23,2021,"UNK",2,32
24,2021,"UNK",2,23
25,2021,"UNK",2,29
26,2021,"UNK",2,21
27,2021,"UNK",2,24
28,2021,"UNK",2,35
29,2021,"UNK",2,29
30,2021,"UNK",2,29
31,2021,"UNK",2,30
32,2021,"UNK",2,23
33,2021,"UNK",2,9
34,2021,"UNK",2,5
35,2021,"UNK",2,14
36,2021,"UNK",2,1
37,2021,"UNK",2,6
38,2021,"UNK",2,4
39,2021,"UNK",2,5
40,2021,"UNK",2,1
41,2021,"UNK",2,0
42,2021,"UNK",2,0
43,2021,"UNK",2,1
44,2021,"UNK",2,2
45,2021,"UNK",2,1
46,2021,"UNK",2,8
47,2021,"UNK",2,16
48,2021,"UNK",2,32
49,2021,"UNK",2,32
50,2021,"UNK",2,113
51,2021,"UNK",2,87
52,2021,"UNK",2,88
1,2022,"UNK",2,72
2,2022,"UNK",2,33
3,2022,"UNK",2,25
4,2022,"UNK",2,5
5,2022,"UNK",2,4
6,2022,"UNK",2,2
7,2022,"UNK",2,3
8,2022,"UNK",2,0
9,2022,"UNK",2,0
52,2020,"Oxford/AstraZeneca",3,0
53,2020,"Oxford/AstraZeneca",3,0
1,2021,"Oxford/AstraZeneca",3,0
2,2021,"Oxford/AstraZeneca",3,0
3,2021,"Oxford/AstraZeneca",3,0
4,2021,"Oxford/AstraZeneca",3,0
5,2021,"Oxford/AstraZeneca",3,0
6,2021,"Oxford/AstraZeneca",3,0
7,2021,"Oxford/AstraZeneca",3,0
8,2021,"Oxford/AstraZeneca",3,0
9,2021,"Oxford/AstraZeneca",3,0
10,2021,"Oxford/AstraZeneca",3,0
11,2021,"Oxford/AstraZeneca",3,0
12,2021,"Oxford/AstraZeneca",3,0
13,2021,"Oxford/AstraZeneca",3,0
14,2021,"Oxford/AstraZeneca",3,0
15,2021,"Oxford/AstraZeneca",3,0
16,2021,"Oxford/AstraZeneca",3,0
17,2021,"Oxford/AstraZeneca",3,0
18,2021,"Oxford/AstraZeneca",3,0
19,2021,"Oxford/AstraZeneca",3,0
20,2021,"Oxford/AstraZeneca",3,0
21,2021,"Oxford/AstraZeneca",3,0
22,2021,"Oxford/AstraZeneca",3,0
23,2021,"Oxford/AstraZeneca",3,0
24,2021,"Oxford/AstraZeneca",3,0
25,2021,"Oxford/AstraZeneca",3,0
26,2021,"Oxford/AstraZeneca",3,0
27,2021,"Oxford/AstraZeneca",3,0
28,2021,"Oxford/AstraZeneca",3,0
29,2021,"Oxford/AstraZeneca",3,0
30,2021,"Oxford/AstraZeneca",3,0
31,2021,"Oxford/AstraZeneca",3,0
32,2021,"Oxford/AstraZeneca",3,0
33,2021,"Oxford/AstraZeneca",3,0
34,2021,"Oxford/AstraZeneca",3,0
35,2021,"Oxford/AstraZeneca",3,0
36,2021,"Oxford/AstraZeneca",3,0
37,2021,"Oxford/AstraZeneca",3,0
38,2021,"Oxford/AstraZeneca",3,0
39,2021,"Oxford/AstraZeneca",3,0
40,2021,"Oxford/AstraZeneca",3,0
41,2021,"Oxford/AstraZeneca",3,1
42,2021,"Oxford/AstraZeneca",3,1
43,2021,"Oxford/AstraZeneca",3,0
44,2021,"Oxford/AstraZeneca",3,0
45,2021,"Oxford/AstraZeneca",3,0
46,2021,"Oxford/AstraZeneca",3,0
47,2021,"Oxford/AstraZeneca",3,0
48,2021,"Oxford/AstraZeneca",3,1
49,2021,"Oxford/AstraZeneca",3,0
50,2021,"Oxford/AstraZeneca",3,1
51,2021,"Oxford/AstraZeneca",3,1
52,2021,"Oxford/AstraZeneca",3,0
1,2022,"Oxford/AstraZeneca",3,0
2,2022,"Oxford/AstraZeneca",3,0
3,2022,"Oxford/AstraZeneca",3,0
4,2022,"Oxford/AstraZeneca",3,0
5,2022,"Oxford/AstraZeneca",3,0
6,2022,"Oxford/AstraZeneca",3,0
7,2022,"Oxford/AstraZeneca",3,0
8,2022,"Oxford/AstraZeneca",3,0
9,2022,"Oxford/AstraZeneca",3,0
52,2020,"Pfizer/BioNTech",3,0
53,2020,"Pfizer/BioNTech",3,0
1,2021,"Pfizer/BioNTech",3,0
2,2021,"Pfizer/BioNTech",3,0
3,2021,"Pfizer/BioNTech",3,0
4,2021,"Pfizer/BioNTech",3,0
5,2021,"Pfizer/BioNTech",3,0
6,2021,"Pfizer/BioNTech",3,0
7,2021,"Pfizer/BioNTech",3,0
8,2021,"Pfizer/BioNTech",3,0
9,2021,"Pfizer/BioNTech",3,0
10,2021,"Pfizer/BioNTech",3,0
11,2021,"Pfizer/BioNTech",3,0
12,2021,"Pfizer/BioNTech",3,0
13,2021,"Pfizer/BioNTech",3,0
14,2021,"Pfizer/BioNTech",3,0
15,2021,"Pfizer/BioNTech",3,0
16,2021,"Pfizer/BioNTech",3,0
17,2021,"Pfizer/BioNTech",3,0
