"","year","week","smooth","covid_sterfte","cbs_deaths","lwr","upr","weekyear"
"55",2021,3,NA,63,3192,NA,NA,"2021-03"
"56",2021,4,NA,53,3202,NA,NA,"2021-04"
"57",2021,5,NA,71,3286,NA,NA,"2021-05"
"58",2021,6,NA,90,3253,NA,NA,"2021-06"
"59",2021,7,NA,95,3378,NA,NA,"2021-07"
"60",2021,8,NA,59,3351,NA,NA,"2021-08"
"61",2021,9,NA,70,3233,NA,NA,"2021-09"
"62",2021,10,NA,78,3387,NA,NA,"2021-10"
"63",2021,11,NA,97,3602,NA,NA,"2021-11"
"64",2021,12,NA,107,3630,NA,NA,"2021-12"
"65",2021,13,NA,82,3562,NA,NA,"2021-13"
"66",2021,14,NA,63,3571,NA,NA,"2021-14"
"67",2021,15,NA,44,3514,NA,NA,"2021-15"
"68",2021,16,NA,29,3235,NA,NA,"2021-16"
"69",2021,17,NA,34,3139,NA,NA,"2021-17"
"70",2021,18,NA,13,3124,NA,NA,"2021-18"
"71",2021,19,NA,12,3122,NA,NA,"2021-19"
"72",2021,20,NA,13,3049,NA,NA,"2021-20"
"73",2021,21,NA,11,2919,NA,NA,"2021-21"
"74",2021,22,NA,4,2959,NA,NA,"2021-22"
"75",2021,23,NA,10,2937,NA,NA,"2021-23"
"76",2021,24,NA,13,3002,NA,NA,"2021-24"
"77",2021,25,NA,16,3128,NA,NA,"2021-25"
"78",2021,26,NA,28,3082,NA,NA,"2021-26"
"79",2021,27,NA,19,2961,NA,NA,"2021-27"
"80",2021,28,NA,35,3075,NA,NA,"2021-28"
"81",2021,29,NA,32,3159,NA,NA,"2021-29"
"82",2021,30,NA,29,3097,NA,NA,"2021-30"
"83",2021,31,NA,26,2890,NA,NA,"2021-31"
"84",2021,32,NA,23,2980,NA,NA,"2021-32"
